task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,result_json
bt-ai-2023-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2023,2023-01-01,2023-12-31,W,3,5,21,20,1,3,-2.57,1.24,-3.81,-2.57,-1.549,0.0,0.0,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2023-bollinger_lower-w-top3-h5.json
bt-ai-2023-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2023,2023-01-01,2023-12-31,W,3,5,21,18,3,9,31.42,1.24,30.19,-4.95,1.645,9.52,66.67,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2023-rsi_oversold-w-top3-h5.json
bt-ai-2024-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2024,2024-01-01,2024-12-31,W,3,5,53,47,6,18,-16.98,-6.99,-9.99,-18.01,-1.643,1.89,22.22,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2024-bollinger_lower-w-top3-h5.json
bt-ai-2024-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2024,2024-01-01,2024-12-31,W,3,5,53,42,11,33,-4.21,-6.99,2.78,-11.81,-0.197,5.66,36.36,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2024-rsi_oversold-w-top3-h5.json
bt-ai-2025-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2025,2025-01-01,2025-12-31,W,3,5,53,43,10,30,10.78,85.25,-74.47,-9.95,0.605,11.32,53.33,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2025-bollinger_lower-w-top3-h5.json
bt-ai-2025-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2025,2025-01-01,2025-12-31,W,3,5,53,34,19,57,16.22,85.25,-69.03,-12.54,0.781,16.98,52.63,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2025-rsi_oversold-w-top3-h5.json
bt-ai-2026q1-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2026q1,2026-01-01,2026-03-31,W,3,5,14,10,4,12,4.42,-3.38,7.8,-5.3,0.87,21.43,66.67,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2026q1-bollinger_lower-w-top3-h5.json
bt-ai-2026q1-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2026q1,2026-01-01,2026-03-31,W,3,5,14,5,9,27,8.55,-3.38,11.93,-15.59,0.904,35.71,55.56,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-2026q1-rsi_oversold-w-top3-h5.json
bt-ai-full-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,full,2023-01-01,2026-03-31,W,3,5,139,118,21,63,-6.43,52.53,-58.96,-25.72,-0.09,7.19,44.44,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-full-bollinger_lower-w-top3-h5.json
bt-ai-full-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,full,2023-01-01,2026-03-31,W,3,5,139,97,42,126,58.83,52.53,6.3,-19.32,0.748,13.67,50.0,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15/bt-ai-full-rsi_oversold-w-top3-h5.json
