task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,result_json
bt-ai-2023-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2023,2023-01-01,2023-12-31,W,3,5,21,10,11,33,5.63,1.24,4.39,-16.67,0.534,23.81,42.42,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2023-bollinger_ranked-w-top3-h5.json
bt-ai-2023-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",2023,2023-01-01,2023-12-31,W,3,5,21,10,11,33,45.93,1.24,44.69,-16.78,1.765,28.57,48.48,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2023-rsi_ranked-w-top3-h5.json
bt-ai-2024-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2024,2024-01-01,2024-12-31,W,3,5,53,34,19,57,446.15,-6.99,453.14,-25.71,1.868,18.87,36.84,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2024-bollinger_ranked-w-top3-h5.json
bt-ai-2024-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",2024,2024-01-01,2024-12-31,W,3,5,53,34,19,57,37.98,-6.99,44.96,-19.1,0.743,13.21,38.6,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2024-rsi_ranked-w-top3-h5.json
bt-ai-2025-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2025,2025-01-01,2025-12-31,W,3,5,53,5,48,144,49.81,85.25,-35.44,-22.37,1.068,45.28,47.92,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2025-bollinger_ranked-w-top3-h5.json
bt-ai-2025-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",2025,2025-01-01,2025-12-31,W,3,5,53,5,48,144,15.39,85.25,-69.86,-34.27,0.563,39.62,47.22,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2025-rsi_ranked-w-top3-h5.json
bt-ai-2026q1-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2026q1,2026-01-01,2026-03-31,W,3,5,14,0,14,42,-16.98,-3.38,-13.59,-31.54,-1.046,42.86,38.1,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2026q1-bollinger_ranked-w-top3-h5.json
bt-ai-2026q1-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",2026q1,2026-01-01,2026-03-31,W,3,5,14,0,14,42,-18.18,-3.38,-14.8,-31.93,-1.229,35.71,40.48,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-2026q1-rsi_ranked-w-top3-h5.json
bt-ai-full-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",full,2023-01-01,2026-03-31,W,3,5,139,48,91,273,663.58,52.53,611.05,-31.54,1.252,32.37,43.59,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-full-bollinger_ranked-w-top3-h5.json
bt-ai-full-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",full,2023-01-01,2026-03-31,W,3,5,139,48,91,273,76.84,52.53,24.31,-34.27,0.626,27.34,43.96,0.0,0.0,15.0,data/backtest_results/technical_baselines/top3_h5_tr15_ranked/bt-ai-full-rsi_ranked-w-top3-h5.json
