task_id,baseline,baseline_label,period,from_date,to_date,rebalance,top_n,hold_days,rebalance_count,risk_off_count,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,stop_loss_pct,take_profit_pct,trailing_stop_pct,slippage_bps,market_impact_bps,round_trip_cost_bps,result_json
bt-ai-2023-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2023,2023-01-01,2023-12-31,W,3,5,21,17,4,12,-4.56,-2.94,-1.62,-6.74,-0.792,9.52,33.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-bollinger_lower-w-top3-h5.json
bt-ai-2023-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2023,2023-01-01,2023-12-31,W,3,5,21,0,21,63,-8.17,-2.94,-5.23,-32.5,-0.267,47.62,39.68,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-bollinger_ranked-w-top3-h5.json
bt-ai-2023-momentum_20d-w-top3-h5,momentum_20d,Highest 20-day momentum,2023,2023-01-01,2023-12-31,W,3,5,21,0,21,63,-5.88,-2.94,-2.94,-42.53,0.0,52.38,49.21,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-momentum_20d-w-top3-h5.json
bt-ai-2023-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2023,2023-01-01,2023-12-31,W,3,5,21,12,9,27,-4.18,-2.94,-1.24,-33.18,0.069,14.29,33.33,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-rsi_oversold-w-top3-h5.json
bt-ai-2023-rsi_ranked-w-top3-h5,rsi_ranked,"Lowest RSI(14), no threshold",2023,2023-01-01,2023-12-31,W,3,5,21,0,21,63,15.15,-2.94,18.09,-43.1,0.797,47.62,39.68,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-rsi_ranked-w-top3-h5.json
bt-ai-2023-vol_adjusted_momentum-w-top3-h5,vol_adjusted_momentum,Volatility-adjusted momentum,2023,2023-01-01,2023-12-31,W,3,5,21,0,21,63,-34.79,-2.94,-31.86,-44.43,-1.813,38.1,42.86,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2023-vol_adjusted_momentum-w-top3-h5.json
bt-ai-2024-bollinger_lower-w-top3-h5,bollinger_lower,Close <= Bollinger lower band,2024,2024-01-01,2024-12-31,W,3,5,53,37,16,48,-34.88,-16.38,-18.5,-41.16,-1.95,9.43,35.42,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-bollinger_lower-w-top3-h5.json
bt-ai-2024-bollinger_ranked-w-top3-h5,bollinger_ranked,"Lowest Bollinger %B, no threshold",2024,2024-01-01,2024-12-31,W,3,5,53,0,53,159,167.72,-16.38,184.1,-72.51,1.244,41.51,38.99,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-bollinger_ranked-w-top3-h5.json
bt-ai-2024-momentum_20d-w-top3-h5,momentum_20d,Highest 20-day momentum,2024,2024-01-01,2024-12-31,W,3,5,53,0,53,159,6.97,-16.38,23.35,-45.73,0.377,47.17,47.8,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-momentum_20d-w-top3-h5.json
bt-ai-2024-rsi_oversold-w-top3-h5,rsi_oversold,RSI(14) <= 30,2024,2024-01-01,2024-12-31,W,3,5,53,16,37,111,-45.67,-16.38,-29.3,-53.8,-1.521,26.42,38.74,0.0,0.0,15.0,5.0,5.0,50.0,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-rsi_oversold-w-top3-h5.json
